budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
2,1,5,461.24,0.18,292 milliseconds,461.22,0.0,49 milliseconds,0.01999999999998181,1.0000433632539785
6,1,5,1292.04,0.53,1911 milliseconds,1291.91,0.0,48 milliseconds,0.12999999999988177,1.0001006262046117
10,1,5,2070.82,0.89,5345 milliseconds,2070.58,0.0,71 milliseconds,0.24000000000023647,1.0001159095519132
14,1,5,2814.82,1.25,2550656 milliseconds,2814.5,0.0,400 milliseconds,0.3200000000001637,1.00011369692663
18,1,5,3524.78,1.61,1523318 milliseconds,3524.24,0.0,2718 milliseconds,0.5400000000004184,1.000153224525004
22,1,5,4189.57,1.97,569366 milliseconds,4188.85,0.0,42869 milliseconds,0.7199999999993452,1.0001718848848729
26,1,5,4790.46,2.32,12160741 milliseconds,4789.37,0.0,747631 milliseconds,1.0900000000001455,1.0002275873444733
30,1,5,4805.24,2.68,69541821 milliseconds,4789.37,0.0,750206 milliseconds,15.86999999999989,1.0033135882172395
34,1,5,4816.37,3.04,408803099 milliseconds,4789.37,0.0,757912 milliseconds,27.0,1.0056374846796134
