budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
2,1,10,866.58,0.47,470 milliseconds,866.47,0.0,52 milliseconds,0.11000000000001364,1.0001269518852356
6,1,10,2391.49,1.42,3504 milliseconds,2390.99,0.0,50 milliseconds,0.5,1.000209118398655
10,1,10,3775.35,2.36,1781766 milliseconds,3774.2,0.0,87 milliseconds,1.150000000000091,1.0003047003338457
14,1,10,4696.3,3.31,19293052 milliseconds,4678.52,0.0,279 milliseconds,17.779999999999745,1.0038003471183194
18,1,10,4741.3,4.25,62784039 milliseconds,4678.52,0.0,672 milliseconds,62.779999999999745,1.0134187734582731
22,1,10,4770.0,5.19,88422845 milliseconds,4678.52,0.0,1086 milliseconds,91.47999999999956,1.019553192035088
26,1,10,4790.29,6.13,133956040 milliseconds,4678.52,0.0,289 milliseconds,111.76999999999953,1.0238900336003693
30,1,10,4805.25,7.08,284989519 milliseconds,4678.52,0.0,1215 milliseconds,126.72999999999956,1.027087626001385
34,1,10,4816.15,8.03,545021914 milliseconds,4678.52,0.0,1175 milliseconds,137.6299999999992,1.0294174226037291
