budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
2,1,10,514.7825549526243,1.2116662690604016,376 milliseconds,514.7825549526244,0.0,35 milliseconds,-1.1368683772161603e-13,0.9999999999999998
4,1,10,804.2347001740959,2.4233325381208033,1930 milliseconds,803.1100111756863,0.0,69 milliseconds,1.1246889984096242,1.0014004171069455
6,1,10,1022.6064998981183,3.634998807181205,3670 milliseconds,1009.8314075432793,0.0,118 milliseconds,12.77509235483899,1.0126507179905586
8,1,10,1205.101115088808,4.846665076241607,35232 milliseconds,1165.5592311271369,0.0,171 milliseconds,39.54188396167115,1.0339252462729267
10,1,10,1357.5317285839842,6.058331345302008,52754 milliseconds,1297.9873669062806,0.0,274 milliseconds,59.54436167770359,1.0458743768975396
12,1,10,1493.5446239607875,7.26999761436241,124155 milliseconds,1420.3635070250255,0.0,448 milliseconds,73.18111693576202,1.0515228084738963
2,2,10,558.6607373905101,1.2873013534282336,698 milliseconds,558.6607373905101,0.0,29 milliseconds,0.0,1.0
4,2,10,867.9065357693113,2.574602706856467,1444 milliseconds,867.8190310618203,0.0,59 milliseconds,0.08750470749100714,1.0001008328975962
6,2,10,1104.09413172248,3.861904060284701,19093 milliseconds,1092.1824739703854,0.0,94 milliseconds,11.91165775209447,1.0109062890459983
8,2,10,1293.8622332116804,5.149205413712934,16266 milliseconds,1258.5270098333726,0.0,187 milliseconds,35.335223378307774,1.0280766508006738
10,2,10,1455.6347513642427,6.436506767141168,48984 milliseconds,1392.8483204262652,0.0,319 milliseconds,62.78643093797746,1.0450777231211812
12,2,10,1596.8718890685514,7.723808120569402,972702 milliseconds,1512.022570783052,0.0,485 milliseconds,84.8493182854993,1.0561164363052842
2,3,10,598.9776617744305,1.3107477548646784,525 milliseconds,598.9776617744304,0.0,34 milliseconds,1.1368683772161603e-13,1.0000000000000002
4,3,10,999.2554561387893,2.621495509729357,1912 milliseconds,998.9045420367347,0.0,68 milliseconds,0.3509141020546167,1.0003512989352707
6,3,10,1252.541211993568,3.9322432645940353,14064 milliseconds,1242.2282407290259,0.0,182 milliseconds,10.312971264542057,1.0083019938900195
8,3,10,1447.5039116890216,5.242991019458714,31673 milliseconds,1418.1999208710577,0.0,357 milliseconds,29.30399081796395,1.0206628066936891
10,3,10,1617.253570513862,6.553738774323392,61311 milliseconds,1569.3644082565652,0.0,420 milliseconds,47.8891622572969,1.0305150046766371
12,3,10,1769.636997447611,7.864486529188071,334037 milliseconds,1702.4972520573247,0.0,618 milliseconds,67.13974539028641,1.0394360374497837
2,4,10,618.8209027181133,1.1647951590714456,387 milliseconds,618.8209027181133,0.0,29 milliseconds,0.0,1.0
4,4,10,957.3022191920759,2.329590318142891,1736 milliseconds,957.302219192076,0.0,64 milliseconds,-1.1368683772161603e-13,0.9999999999999999
6,4,10,1159.364311068309,3.494385477214337,4624 milliseconds,1154.560940338758,0.0,161 milliseconds,4.803370729551034,1.0041603440422484
8,4,10,1330.8682508850848,4.659180636285782,9985 milliseconds,1315.55533030176,0.0,307 milliseconds,15.31292058332474,1.01163989094994
10,4,10,1479.3776331254662,5.823975795357228,83239 milliseconds,1445.4888300711746,0.0,433 milliseconds,33.88880305429166,1.0234445277952255
12,4,10,1611.0677606906058,6.988770954428674,168440 milliseconds,1556.243212121215,0.0,685 milliseconds,54.8245485693908,1.0352287792437425
2,5,10,605.2305833123484,1.240280594878186,345 milliseconds,605.1953426079288,0.0,35 milliseconds,0.03524070441960703,1.000058230296796
4,5,10,974.6317054806716,2.480561189756372,2187 milliseconds,974.5964647762519,0.0,64 milliseconds,0.035240704419720714,1.0000361592779097
6,5,10,1208.6281189973695,3.7208417846345583,10558 milliseconds,1203.321993263248,0.0,117 milliseconds,5.306125734121451,1.0044095643259474
8,5,10,1395.6753931470005,4.961122379512744,45047 milliseconds,1372.7159189570052,0.0,228 milliseconds,22.959474189995262,1.016725583110772
10,5,10,1556.4989372931293,6.2014029743909305,168191 milliseconds,1514.6385395387392,0.0,335 milliseconds,41.86039775439008,1.0276372194828332
12,5,10,1698.8594497572903,7.441683569269117,451733 milliseconds,1640.8754070260838,0.0,447 milliseconds,57.9840427312065,1.0353372611247167
2,6,10,593.1358401198688,1.2887538483941512,370 milliseconds,593.1734635560731,0.0,38 milliseconds,-0.0376234362042851,0.9999365726241718
4,6,10,944.3610991702801,2.5775076967883024,1856 milliseconds,944.2952012196295,0.0,129 milliseconds,0.06589795065065118,1.0000697853283227
6,6,10,1180.037763177125,3.8662615451824536,4179 milliseconds,1174.8209105825565,0.0,161 milliseconds,5.216852594568536,1.0044405513619787
8,6,10,1372.854253490666,5.155015393576605,64599 milliseconds,1355.3576775851666,0.0,263 milliseconds,17.496575905499412,1.012909194521016
10,6,10,1543.9815457788104,6.443769241970756,73873 milliseconds,1513.1381397328648,0.0,405 milliseconds,30.843406045945585,1.0203837344628632
12,6,10,1700.2582349641352,7.732523090364907,313604 milliseconds,1649.944471728052,0.0,572 milliseconds,50.31376323608333,1.030494216077095
2,7,10,571.2572757066268,1.3157106441859128,355 milliseconds,571.257275706627,0.0,29 milliseconds,-1.1368683772161603e-13,0.9999999999999998
4,7,10,922.2070967034172,2.6314212883718255,2075 milliseconds,921.7334215378405,0.0,124 milliseconds,0.4736751655766511,1.0005138960511883
6,7,10,1148.983682023143,3.9471319325577383,17348 milliseconds,1144.567032860346,0.0,232 milliseconds,4.416649162797057,1.0038587946673245
8,7,10,1345.868328852347,5.262842576743651,36939 milliseconds,1333.5467734522265,0.0,318 milliseconds,12.321555400120587,1.009239687460098
10,7,10,1518.8148430496308,6.578553220929564,87262 milliseconds,1490.8800293180138,0.0,562 milliseconds,27.93481373161694,1.0187371305418822
12,7,10,1675.1435659232347,7.894263865115477,1390758 milliseconds,1624.8066852291563,0.0,1060 milliseconds,50.336880694078445,1.0309802274644009
2,8,10,600.2250701041384,1.1887668910884486,374 milliseconds,600.2250701041384,0.0,48 milliseconds,0.0,1.0
4,8,10,961.4740653634615,2.377533782176897,1551 milliseconds,961.4008644700606,0.0,72 milliseconds,0.07320089340089453,1.0000761398248184
6,8,10,1183.9687080118717,3.5663006732653457,3906 milliseconds,1179.5402916945823,0.0,169 milliseconds,4.428416317289475,1.0037543578192887
8,8,10,1368.6595194618212,4.755067564353794,37332 milliseconds,1352.6703615403567,0.0,216 milliseconds,15.989157921464539,1.0118204393147616
10,8,10,1531.2819670353078,5.943834455442243,59058 milliseconds,1498.1107570838842,0.0,250 milliseconds,33.171209951423634,1.0221420277469955
12,8,10,1676.2519228020597,7.132601346530691,609086 milliseconds,1625.103604780583,0.0,416 milliseconds,51.1483180214766,1.0314738813396347
2,9,10,550.0227961679748,1.261560916287408,343 milliseconds,550.0227961679748,0.0,29 milliseconds,0.0,1.0
4,9,10,878.463899294746,2.523121832574816,1806 milliseconds,878.1596092579521,0.0,69 milliseconds,0.3042900367939865,1.0003465088049894
6,9,10,1109.4743770929394,3.784682748862224,9704 milliseconds,1097.1556169681824,0.0,196 milliseconds,12.318760124757091,1.011227905990946
8,9,10,1289.9742973724858,5.046243665149632,50505 milliseconds,1259.430691614041,0.0,246 milliseconds,30.543605758444755,1.0242519147435587
10,9,10,1447.949883791826,6.30780458143704,157432 milliseconds,1393.8589638337576,0.0,360 milliseconds,54.090919958068525,1.0388065947571148
12,9,10,1587.334426888794,7.569365497724448,657458 milliseconds,1519.84718247295,0.0,539 milliseconds,67.48724441584409,1.044403967184408
2,10,10,556.6691841699015,1.2119564195270414,347 milliseconds,556.6691841699017,0.0,34 milliseconds,-1.1368683772161603e-13,0.9999999999999998
4,10,10,855.056496115001,2.4239128390540827,1472 milliseconds,855.056496115001,0.0,121 milliseconds,0.0,1.0
