budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
6,8,5,946.5209495026736,1.5973107859424545,2114 milliseconds,945.8264320826889,0.0,98 milliseconds,0.6945174199846633,1.0007342969031383
8,8,5,1184.498804368117,2.1297477145899393,12648 milliseconds,1183.4074374353333,0.0,127 milliseconds,1.0913669327835578,1.0009222241624143
10,8,5,1391.0102575051828,2.662184643237424,45065 milliseconds,1390.0457246661597,0.0,182 milliseconds,0.9645328390231498,1.0006938856916054
12,8,5,1571.484348914391,3.194621571884909,20866 milliseconds,1570.4642929289098,0.0,228 milliseconds,1.0200559854811218,1.000649525105457
2,9,5,354.3291701621067,0.5702453246100845,255 milliseconds,354.32917016210666,0.0,29 milliseconds,5.684341886080802e-14,1.0000000000000002
4,9,5,643.109864668781,1.140490649220169,893 milliseconds,643.3347033620762,0.0,64 milliseconds,-0.22483869329516892,0.9996505105474333
6,9,5,899.1592230636651,1.7107359738302534,2005 milliseconds,899.4907683758938,0.0,94 milliseconds,-0.33154531222874084,0.999631407765499
8,9,5,1133.1502679043404,2.280981298440338,5349 milliseconds,1132.0507393172722,0.0,171 milliseconds,1.0995285870681073,1.0009712714712162
10,9,5,1338.5780375609563,2.8512266230504224,36568 milliseconds,1337.1029265707418,0.0,228 milliseconds,1.475110990214489,1.0011032142409544
12,9,5,1512.042202115541,3.421471947660507,56084 milliseconds,1510.5494729661796,0.0,330 milliseconds,1.4927291493613666,1.0009882027540813
2,10,5,356.95982624188423,0.5414904253325972,284 milliseconds,356.95982624188423,0.0,33 milliseconds,0.0,1.0
4,10,5,643.3673266212674,1.0829808506651943,831 milliseconds,643.0802932327923,0.0,60 milliseconds,0.287033388475038,1.0004463414467766
6,10,5,891.1240553586179,1.6244712759977915,2761 milliseconds,890.9163220282815,0.0,100 milliseconds,0.20773333033639574,1.0002331681721393
8,10,5,1123.862617439346,2.1659617013303887,8722 milliseconds,1123.1790576299277,0.0,124 milliseconds,0.6835598094182842,1.0006085937988023
10,10,5,1333.1305370698228,2.707452126662986,36966 milliseconds,1332.2695980140418,0.0,154 milliseconds,0.8609390557810457,1.0006462198469923
12,10,5,1515.7866700120326,3.248942551995583,135656 milliseconds,1514.9628093139029,0.0,254 milliseconds,0.8238606981296925,1.0005438157907671
2,11,5,367.83001561218373,0.5441377828819327,258 milliseconds,367.83001561218373,0.0,30 milliseconds,0.0,1.0
4,11,5,677.6487719048348,1.0882755657638654,776 milliseconds,677.6297755770739,0.0,56 milliseconds,0.01899632776087401,1.00002803349033
6,11,5,946.2941779049269,1.6324133486457981,3217 milliseconds,946.0876297604257,0.0,82 milliseconds,0.2065481445011983,1.000218318195909
8,11,5,1181.389655532208,2.176551131527731,4370 milliseconds,1181.366259696365,0.0,111 milliseconds,0.023395835843075474,1.0000198040494648
10,11,5,1393.1359281627351,2.7206889144096635,28776 milliseconds,1393.1276661167255,0.0,147 milliseconds,0.008262046009576807,1.0000059305734934
12,11,5,1588.358250539799,3.2648266972915962,116290 milliseconds,1588.016531300821,0.0,193 milliseconds,0.3417192389779302,1.0002151861975253
2,12,5,375.40420909758046,0.5284327835232148,272 milliseconds,375.3925227772846,0.0,34 milliseconds,0.01168632029583705,1.000031130935186
4,12,5,685.4470123262289,1.0568655670464295,664 milliseconds,685.4498873751343,0.0,67 milliseconds,-0.002875048905366384,0.999995805603067
6,12,5,953.4344508008875,1.5852983505696443,1831 milliseconds,953.1112525359742,0.0,94 milliseconds,0.32319826491323056,1.000339098152554
8,12,5,1192.9292516262458,2.113731134092859,10026 milliseconds,1192.287304942848,0.0,122 milliseconds,0.6419466833976912,1.000538416102173
10,12,5,1405.6745035864474,2.642163917616074,9736 milliseconds,1405.1366161224298,0.0,150 milliseconds,0.5378874640175582,1.0003828008307847
12,12,5,1591.4391342177653,3.1705967011392886,67526 milliseconds,1591.1060899730755,0.0,200 milliseconds,0.33304424468974503,1.0002093161774621
2,13,5,372.16214804823943,0.5562416863082831,295 milliseconds,371.9981048210116,0.0,34 milliseconds,0.16404322722780762,1.0004409786638744
4,13,5,696.056759612905,1.1124833726165662,667 milliseconds,696.1264979253527,0.0,61 milliseconds,-0.06973831244772555,0.999899819483017
6,13,5,993.9273487106374,1.6687250589248492,1715 milliseconds,994.1250532736676,0.0,89 milliseconds,-0.19770456303024275,0.9998011270690954
8,13,5,1251.9603243209563,2.2249667452331323,7119 milliseconds,1251.9624926768633,0.0,163 milliseconds,-0.002168355907087971,0.9999982680344501
10,13,5,1454.8191765132995,2.7812084315414154,56198 milliseconds,1454.9026967707423,0.0,148 milliseconds,-0.0835202574428422,0.9999425939221721
12,13,5,1633.5189150026256,3.3374501178496985,394524 milliseconds,1633.5041017514402,0.0,210 milliseconds,0.014813251185387344,1.0000090683893414
2,14,5,377.9173678025507,0.5705933134560155,294 milliseconds,377.80218936790925,0.0,30 milliseconds,0.11517843464145017,1.0003048643916916
4,14,5,699.256135656959,1.141186626912031,648 milliseconds,699.0445082920669,0.0,56 milliseconds,0.21162736489213785,1.0003027380408283
6,14,5,986.6465085296807,1.7117799403680465,2029 milliseconds,986.230248192979,0.0,81 milliseconds,0.4162603367016118,1.0004220721656676
8,14,5,1231.0980528741509,2.282373253824062,4193 milliseconds,1230.6666689284843,0.0,111 milliseconds,0.43138394566653915,1.000350528665932
10,14,5,1451.0197640757206,2.8529665672800775,75897 milliseconds,1450.56769967359,0.0,143 milliseconds,0.45206440213064525,1.0003116465382706
12,14,5,1651.486537660428,3.423559880736093,44297 milliseconds,1651.029315685227,0.0,191 milliseconds,0.4572219752010369,1.000276931469876
2,15,5,366.16274063648257,0.5293211947728196,301 milliseconds,366.16274063648257,0.0,33 milliseconds,0.0,1.0
4,15,5,677.3467345420672,1.0586423895456392,649 milliseconds,677.5050257054177,0.0,64 milliseconds,-0.1582911633504409,0.9997663616396267
6,15,5,954.692854312313,1.5879635843184587,1688 milliseconds,954.8446905898002,0.0,95 milliseconds,-0.15183627748717754,0.999840983273004
8,15,5,1200.4823135829156,2.1172847790912783,7888 milliseconds,1200.612665812478,0.0,170 milliseconds,-0.13035222956250436,0.9998914285736988
10,15,5,1425.4023690713832,2.646605973864098,11021 milliseconds,1425.6424103357056,0.0,151 milliseconds,-0.24004126432237172,0.9998316258953984
12,15,5,1617.2508719691314,3.1759271686369175,63221 milliseconds,1617.723690713618,0.0,200 milliseconds,-0.47281874448663075,0.9997077258946007
2,16,5,376.65805686667534,0.5484304822583681,344 milliseconds,376.6580568666752,0.0,39 milliseconds,1.1368683772161603e-13,1.0000000000000002
4,16,5,695.8506556033732,1.0968609645167362,995 milliseconds,695.6676816536417,0.0,70 milliseconds,0.1829739497314904,1.000263019189416
6,16,5,977.1086266276678,1.6452914467751043,4666 milliseconds,976.913595079833,0.0,96 milliseconds,0.1950315478347875,1.0001996405299476
8,16,5,1214.622626078156,2.1937219290334724,12520 milliseconds,1214.477241582988,0.0,124 milliseconds,0.14538449516794572,1.0001197095261978
10,16,5,1410.0963798457806,2.7421524112918405,3237395 milliseconds,1409.8276285130698,0.0,175 milliseconds,0.26875133271073537,1.0001906270860887
